RATING_YELP,AVGSCORE,CUISINE
2.5,16.7826086957,Italian
4.5,19.12,Italian
4.0,12.7368421053,Fast Food
3.5,13.4516129032,Chinese
4.0,11.5,Italian
3.5,24.825,Mediterranean
4.0,13.625,Italian
4.5,13.7272727273,American
3.5,24.5161290323,American
2.5,26.1891891892,European
4.0,28.08,American
3.5,15.36,American
4.0,14.0769230769,American
3.5,17.1111111111,Italian
4.5,15.7058823529,American
3.5,11.5,American
4.0,24.3888888889,American
3.5,16.037037037,Italian
3.5,14.7142857143,Other
4.0,17.2666666667,American
2.5,18.6470588235,Fast Food
4.5,20.4230769231,Italian
3.0,24.7872340426,Asian
4.5,18.76,Fast Food
4.5,11.4,Italian
4.0,20.8333333333,American
3.0,21.1052631579,American
4.0,9.14285714286,Fast Food
4.0,21.4285714286,American
4.0,11.0666666667,Latin
4.5,25.6923076923,American
3.5,16.8695652174,Fast Food
4.5,7.71428571429,Fast Food
4.5,11.3571428571,Italian
3.5,13.1666666667,Asian
3.0,24.4117647059,Mediterranean
4.5,20.696969697,American
4.5,22.2692307692,Italian
3.0,13.9130434783,Fast Food
3.5,13.4166666667,Fast Food
4.0,21.3214285714,Other
3.5,8.6,Mediterranean
3.0,19.5454545455,Latin
4.0,23.4117647059,Asian
3.5,23.9736842105,Chinese
4.0,18.4230769231,Mediterranean
3.0,17.8421052632,Fast Food
4.5,15.1666666667,Mediterranean
4.5,14.6153846154,Fast Food
4.0,9.63636363636,Fast Food
3.5,10.4705882353,American
4.0,11.2142857143,American
4.5,19.56,Other
3.5,14.4,American
4.0,12.3333333333,Cafe
3.0,15.3333333333,Italian
4.0,17.55,American
3.5,18.1875,American
4.0,25.0,Mediterranean
4.0,38.8372093023,Asian
3.5,16.1176470588,Other
3.5,13.25,Fast Food
3.5,18.1379310345,European
3.0,13.3571428571,European
5.0,14.8461538462,Other
4.0,11.1111111111,Fast Food
4.0,20.9,Asian
3.5,22.46,Asian
3.5,27.4375,Italian
2.0,12.2222222222,Italian
3.5,21.2222222222,Asian
3.5,9.66666666667,Fast Food
2.5,16.9,Other
3.0,13.0,American
3.0,20.0,American
4.0,9.55555555556,Italian
4.5,17.7435897436,American
2.5,16.2631578947,Fast Food
4.0,18.8888888889,Fast Food
2.5,20.8095238095,Asian
4.5,13.9259259259,Chinese
3.5,16.2352941176,American
4.5,9.91666666667,Latin
4.0,28.0857142857,Latin
5.0,11.0909090909,Chinese
4.5,10.6956521739,Cafe
4.0,20.875,American
3.0,12.7037037037,Fast Food
5.0,10.7777777778,Cafe
4.0,12.7272727273,American
4.0,17.8846153846,Italian
3.5,18.9444444444,Latin
5.0,12.3333333333,Italian
2.5,14.7,Other
4.0,13.7619047619,Cafe
3.0,11.6666666667,Cafe
4.0,17.5185185185,American
3.5,15.619047619,American
4.0,16.2,Latin
4.5,32.6216216216,Italian
4.0,18.0,Italian
3.0,17.7272727273,Mediterranean
3.0,20.8461538462,Fast Food
3.0,25.3055555556,Italian
3.5,12.4166666667,American
2.0,30.4516129032,Latin
4.5,18.4857142857,American
3.5,12.9,American
3.5,20.3103448276,Other
4.0,13.0714285714,Fast Food
3.0,13.9230769231,Latin
2.5,20.7435897436,Asian
